Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-10-09,166.14,166.63,165.42,165.71,2131587.0,0.0,1.0,161.6928200732785,162.16970391724087,160.99209279235419,161.2743301693932,2131587.0
2017-10-06,166.18,166.63,165.74,165.85,2916121.0,0.0,1.0,161.73174936666322,162.16970391724087,161.30352713943168,161.41058269623957,2916121.0
2017-10-05,165.07,166.25,164.26,166.12,3504865.0,0.0,1.0,160.65146147523825,161.7998756300864,159.86314328419843,161.6733554265862,3504865.0
2017-10-04,165.49,166.08,164.91,165.29,2746513.0,0.0,1.0,161.06021905577742,161.63442613320152,160.49574430169957,160.865572588854,2746513.0
2017-10-03,164.06,165.28,164.0,165.17,3046281.0,0.0,1.0,159.66849681727504,160.85584026550785,159.61010287719802,160.74878470869996,3046281.0
2017-10-02,164.2,164.25,163.22,164.02,2721377.0,0.0,1.0,159.8047493441214,159.85341096085227,158.8509816561967,159.6295675238904,2721377.0
2017-09-29,162.5,163.61,162.15,163.56,3465252.0,0.0,1.0,158.15025437527245,159.23054226669737,157.80962305815646,159.1818806499665,3465252.0
2017-09-28,160.72,162.45,160.66,162.36,4613200.0,0.0,1.0,156.41790081965402,158.10159275854156,156.35950687957703,158.01400184842603,4613200.0
2017-09-27,161.38,161.69,160.14,160.92,3966113.0,0.0,1.0,157.0602341605013,157.3619361842326,155.85342606557614,156.61254728657744,3966113.0
2017-09-26,161.55,162.0,160.79,161.26,3222646.0,0.0,1.0,157.22568365738618,157.66363820796386,156.48602708307726,156.94344628034725,3222646.0
2017-09-25,160.05,161.43,159.75,161.1,4896374.0,0.0,1.0,155.76583515546062,157.10889577723216,155.4738654550755,156.78772910680854,4896374.0
2017-09-22,159.14,160.09,159.01,159.97,3576079.0,0.0,1.0,154.8801937309591,155.8047644488453,154.7536735274589,155.68797656869125,3576079.0
2017-09-21,158.87,159.556,158.72,159.19,3082093.0,0.0,1.0,154.6174210006125,155.2850583821598,154.4714361504199,154.9288553476899,3082093.0
2017-09-20,157.57,159.39,157.36,158.68,4598009.0,0.0,1.0,153.35221896561032,155.12350181461338,153.14784017534075,154.43250685703526,4598009.0
2017-09-19,157.8,158.32,157.16,157.66,3712727.0,0.0,1.0,153.57606240257226,154.0821432165731,152.95319370841733,153.43980987572584,3712727.0
2017-09-18,159.0,159.0,157.69,157.81,4010587.0,0.0,1.0,154.74394120411267,154.74394120411267,153.46900684576434,153.58579472591842,4010587.0
2017-09-15,159.98,159.99,158.29,158.4,9124244.0,0.0,1.0,155.6977088920374,155.7074412153836,154.0529462465346,154.16000180334248,9124244.0
2017-09-14,160.35,160.85,159.33,159.38,5287433.0,0.0,1.0,156.05780485584575,156.54442102315426,155.06510787453638,155.1137694912672,5287433.0
2017-09-13,160.39,161.38,159.55,160.02,4713676.0,0.0,1.0,156.0967341492304,157.0602341605013,155.27921898815208,155.73663818542212,4713676.0
2017-09-12,159.06,160.93,158.71,159.91,5793753.0,0.0,1.0,154.80233514418973,156.62227960992362,154.46170382707373,155.62958262861426,5793753.0
2017-09-11,158.42,158.74,156.22,158.37,8847928.0,0.0,1.0,154.17946645003482,154.49090079711232,152.03835531387728,154.13080483330396,8847928.0
2017-09-08,159.09,160.69,157.52,159.66,10088630.0,0.0,1.0,154.83153211422825,156.38870384961552,153.30355734887948,155.38627454495997,10088630.0
2017-09-07,158.17,159.28,156.79,157.93,8264524.0,0.0,1.0,153.93615836638054,155.01644625780546,152.593097744609,153.70258260607247,8264524.0
2017-09-06,154.86,157.03,154.145,156.56,8126012.0,0.0,1.0,150.71475933879807,152.8266735049171,150.01889821954688,152.36925430764708,8126012.0
2017-09-05,151.71,153.92,151.7,152.93,7512387.0,0.0,1.0,147.64907748475434,149.79992094425802,147.63934516140816,148.83642093298715,7512387.0
2017-09-01,150.26,150.94,149.76,150.78,3383036.0,0.0,1.0,146.2378905995596,146.89968858709918,145.75127443225102,146.74397141356047,3383036.0
2017-08-31,150.61,150.925,149.85,149.87,6083340.0,0.0,1.0,146.57852191667558,146.88509010207994,145.8388653423666,145.85832998905894,6083340.0
2017-08-30,150.0,150.25,149.28,150.0,3640966.0,0.0,1.0,145.98485019255915,146.22815827621343,145.28412291163488,145.98485019255915,3640966.0
